text,normalized_text,lable,result
trying to get new website ready.  wish we were telepathic...just for a minute or 2.  Would save on emails ,trying to get new website ready  wish we were telepathicjust for a minute or   would save on emails ,0,1
@hiphopucit Im following u now boo!! , im following u now boo ,0,1
"@mkaeag I don't think that counts as breaking your vow. He barely spoke English back then, besides the movie is too awesome not to watch ", i do not think that counts as breaking your vow he barely spoke english back then besides the movie is too awesome not to watch ,0,1
@pursebuzz aawww..!!   oh well...atleast you won't get sad over the fact that you spent more than what it was now , aawww   oh wellatleast you will not get sad over the fact that you spent more than what it was now ,0,1
"Jonas Brothers wer AMAZINGG!!Cant believe that we found their hotel and they had alredy left  wanted a picture n autograph,but it was cool",jonas brothers wer amazinggcant believe that we found their hotel and they had alredy left  wanted a picture n autographbut it was cool,1,0
"@jmliss yeah I know  but hubby has taken it with him to Argentina, but I have a new Papaw balm my sister sent me from Aus to try out on it", yeah i know  but hubby has taken it with him to argentina but i have a new papaw balm my sister sent me from aus to try out on it,1,0
Getting ready to watch the hills finale ,getting ready to watch the hills finale ,1,0
the sibs are back to school. net all day for me. ,the sibs are back to school net all day for me ,0,1
I need a drink ,i need a drink ,0,1
"waiting for inezzzzzzzzzzzz  to come pick me up ., grrrrrrrrrrrr",waiting for inezzzzzzzzzzzz  to come pick me up  grrrrrrrrrrrr,0,1
@judez_xo is you okies judy  ?, is you okies judy  ,1,0
@canadianmel ow hi! do you have the Th Hodie and H&amp;M fashion againts aids shirt? , ow hi do you have the th hodie and hampm fashion againts aids shirt ,0,1
@producerdavid poor @rodwhiting sorry to say i reckon 2 nil to united Rooney to score if he's playing. , poor sorry to say i reckon  nil to united rooney to score if he is playing ,0,1
@vickyjones91 haha yeah i love him too  but i love him a little too much...haha, haha yeah i love him too  but i love him a little too muchhaha,0,1
@RutieFrutie13 I know the secret... But i'll never tell , i know the secret but i will never tell ,0,1
weoll good night all xoxo wish me luck for the busy day ahead tomorrow  oh well what can you do lol good night,weoll good night all xoxo wish me luck for the busy day ahead tomorrow  oh well what can you do lol good night,1,0
@cardboard911 Lol no its a plain white seat , lol no its a plain white seat ,0,1
@dulcecafe mailed you on Friday! have re-sent. Thanks , mailed you on friday have resent thanks ,0,1
totally bored.. goign to go watch the notebook ,totally bored goign to go watch the notebook ,0,1
Weather is nice! Then WHY am I about to fall asleep! ,weather is nice then why am i about to fall asleep ,1,0
@mattlmorris which home???? , which home ,0,1
@evanwolf I see pie charts on your page! You should know that's a big no no!    http://twurl.nl/a2ts7a, i see pie charts on your page you should know that is a big no no    ,0,1
"Leave today to go home, cobleskill, it's been fun, but now i need to go to Oneonta! ",leave today to go home cobleskill it is been fun but now i need to go to oneonta ,0,1
@Frewq I've heard of this great place to store snaps - it's called SafeSnaps. Shame they don't offer a viewing service too... , i have heard of this great place to store snaps  it is called safesnaps shame they do not offer a viewing service too ,0,1
@DonoDollars lolz hell yeaaa! , lolz hell yeaaa ,0,1
Havent hung out with @worldisphat since Sunday... ,havent hung out with since sunday ,1,0
@irem_fog what does he say? , what does he say ,0,1
"@FrankieTheSats @unahealy are you performing there today? if yes, i would love to be there  anyway, love from germany",  are you performing there today if yes i would love to be there  anyway love from germany,1,0
oooo fuck!!!!!  it was sooo weird!!! no importa... MEEEE VALEEEEEEN TODOS ,oooo fuck  it was sooo weird no importa meeee valeeeeeen todos ,0,1
goood moring  ! i want a yummy breakfast,goood moring   i want a yummy breakfast,0,1
@chazdrums haha! yea.. I live near a dump   some days its HORRIBLE - luckily the breeze goes the other way- lol, haha yea i live near a dump   some days its horrible  luckily the breeze goes the other way lol,1,0
@imperialcreed , ,1,0
"@ButteryBrownn girllllllllllllllllllllll THATS ,MY SHITTTTTTTTTTTTTTT ", girllllllllllllllllllllll thats my shittttttttttttttt ,0,1
"@mollywood Yeah, they still do that  What is it with Apple and downloading a new build every time?", yeah they still do that  what is it with apple and downloading a new build every time,1,0
enjoying the last day of the longest holiday ive had since leaving school ,enjoying the last day of the longest holiday ive had since leaving school ,1,0
@whysgirl i'm not familiar with WHY magazine.  Also tried to follow you but i have a limit   i will try later., i am not familiar with why magazine  also tried to follow you but i have a limit   i will try later,1,0
@saudarilee sini dah ada h1n1 still want to come? hhehe pukulan shopping and makan cannot beat the swine flu eh , sini dah ada hn still want to come hhehe pukulan shopping and makan cannot beat the swine flu eh ,0,1
Its raining here in Texas - more rain than I have seen in some time - everything is green!! ,its raining here in texas  more rain than i have seen in some time  everything is green ,0,1
Geography revision  I am learning about the aims of the common agricultural policy. YOUTUBE WONT LOAD! how am i to distract myself?,geography revision  i am learning about the aims of the common agricultural policy youtube wont load how am i to distract myself,0,1
"@ work early, emptied the dishwasher, cleaned the kitchen, and made coffee....and its only 10 after 8. ", work early emptied the dishwasher cleaned the kitchen and made coffeeand its only  after  ,0,1
"I want to be surprised for the jonas brothers new cd! Why do people have to be talking about it!! Ooh fly with me, whatdididotourheart... ",i want to be surprised for the jonas brothers new cd why do people have to be talking about it ooh fly with me whatdididotourheart ,1,0
Leaving Virginia  was a very peaceful weekend,leaving virginia  was a very peaceful weekend,1,0
"@HaylieK Haylie, that's not Hilary is it?!  How are you? I'm a huge fan of the Duffsters!", haylie that is not hilary is it  how are you i am a huge fan of the duffsters,0,1
"have had my dinner, read the papers. n now readin alil on my business class training notes.. ",have had my dinner read the papers n now readin alil on my business class training notes ,1,0
@VividMuse Ohm... everything-is-alright-and-Viv-will-be-fine... ohm... everything-is-alright...  , ohm everythingisalrightandvivwillbefine ohm everythingisalright  ,0,1
@DaChloester lol im on da phone. U should order da cd ! Im watchin CNN  dey tawkn bout da swine flu!! Very important!!!, lol im on da phone u should order da cd  im watchin cnn  dey tawkn bout da swine flu very important,0,1
I wonder if they make mini air conditioners for your desk?  I am HOT and I work with people who where jackets in the summer time. ,i wonder if they make mini air conditioners for your desk  i am hot and i work with people who where jackets in the summer time ,1,0
lost the semi finals tonight....not a happy bunny...hell proud of you ballaz girls though. you played great!! ,lost the semi finals tonightnot a happy bunnyhell proud of you ballaz girls though you played great ,0,1
@elfrankenstino I can't wait to see Moon; not opening here for ages.  Glad to hear it's good. I'd watch Rockwell read out the phone book., i cannot wait to see moon not opening here for ages  glad to hear it is good i would watch rockwell read out the phone book,1,0
@JoyOfStamping where are the new alcohol inks? , where are the new alcohol inks ,0,1
Work is over for the day! I'm so excited about going home to take a nap. And get the mail- I wonder if I got any packages! ,work is over for the day i am so excited about going home to take a nap and get the mail i wonder if i got any packages ,0,1
@depressingmsgs @depressionnote Block them. They are fake ppl so just cut them out,  block them they are fake ppl so just cut them out,1,0
is in englishhh with Jadee ,is in englishhh with jadee ,0,1
@buildswithbrawn iiiiaan! , iiiiaan ,0,1
@jesssicababesss lol yeah i know what you mean  i stayed up till 4 to wait for jess... But i didn't get a reply :O, lol yeah i know what you mean  i stayed up till  to wait for jess but i did not get a reply o,0,1
@anotherending  &lt;3, lt,0,1
"@mattweblogs But there can only be 1, Highlander ", but there can only be  highlander ,0,1
&quot;Rendition&quot; is on HBO right now... I remember Chris calling me when it came out on DVD asking if it was any good and if he should buy it. ,quotrenditionquot is on hbo right now i remember chris calling me when it came out on dvd asking if it was any good and if he should buy it ,1,0
back from the english exam  going for a little drive with my bruv. ,back from the english exam  going for a little drive with my bruv ,0,1
*mwah* my lovely ladies!   i am out!  dont let those silly boys get u riled up...it's just like theyR pulling ur hair on the playground ,mwah my lovely ladies   i am out  dont let those silly boys get u riled upit is just like theyr pulling ur hair on the playground ,0,1
possibly going to see hillsong united live tomorrow!!!  and I saw @vexli walking on 286 today...he looked like a tool,possibly going to see hillsong united live tomorrow  and i saw walking on  todayhe looked like a tool,0,1
@ashleigh92 haha aww baby :') ill ring at like 25 past then  i love you xxx, haha aww baby  ill ring at like  past then  i love you xxx,0,1
"@Xstineeee hey! interview went well, but i have a feeling i didn't get it  oh well. i've been in portland only like 4 months! it's great", hey interview went well but i have a feeling i did not get it  oh well i have been in portland only like  months it is great,1,0
@_AislinnTighee yeah. you're really annoying , yeah you are really annoying ,0,1
has being on youtube watching 2PM! i think im obsessed with this group after watching Idol Army on youtube! Blame it on YOUTUBE!! ,has being on youtube watching pm i think im obsessed with this group after watching idol army on youtube blame it on youtube ,0,1
"@michecs I know, it gets banned in German states despite that fact (??)... Probably for the best, coulda caused a Red Bull run ", i know it gets banned in german states despite that fact  probably for the best coulda caused a red bull run ,0,1
Watching Haydn's baby videos. He was so small! Miss his mohawk. ,watching haydns baby videos he was so small miss his mohawk ,0,1
@PDX_Grenade The link 404'd. , the link d ,1,0
@SheGotItSheBadd Loool. Damn man. , loool damn man ,0,1
@rudedoodle awkkk bless. m sure he'll dose back off , awkkk bless m sure he will dose back off ,0,1
@ddlovato  you still cant sleep?? btw i love ur music and style and ur so pretty , you still cant sleep btw i love ur music and style and ur so pretty ,1,0
But maybe thats never. Never say never!   I really should start this :\,but maybe thats never never say never   i really should start this \,0,1
Is doing nothing ,is doing nothing ,0,1
Sick of the crappy weather  Going for a walk on the beach with Taryn!,sick of the crappy weather  going for a walk on the beach with taryn,1,0
"@Mosskat Yeah, I hoped he could make it better down here ", yeah i hoped he could make it better down here ,0,1
@TheLastDoctor *grins and runs round him* singiiiiing... why? *stops in front of him and jumps* because it's annoying! , grins and runs round him singiiiiing why stops in front of him and jumps because it is annoying ,0,1
@austinslide wow well done  @fat_cyclist was 9st7 when i met him but was so ill looking. i don't want him to be that thin, wow well done was st when i met him but was so ill looking i do not want him to be that thin,0,1
@Qeabs i dont remember.. it was 3 or 4 i guess.. lama sudah.. , i dont remember it was  or  i guess lama sudah ,0,1
the sun has arrived and with has come a talking Beaver... ,the sun has arrived and with has come a talking beaver ,1,0
@pl4yer0ne We're far from fanboys here at PS3A! We just got a little emotional after what was such a killer keynote. That's all! , we are far from fanboys here at psa we just got a little emotional after what was such a killer keynote that is all ,0,1
morning tweeps  hope you are all aven a good start to the week i'm just chilling at home working night shift this week again,morning tweeps  hope you are all aven a good start to the week i am just chilling at home working night shift this week again,0,1
"@shotoshi idkk, its been like thtsince i woke up it goes away but later it comes back  so idk tg   its mimi time lol", idkk its been like thtsince i woke up it goes away but later it comes back  so idk tg   its mimi time lol,1,0
i'm addicted to you! baby come with me  i'm addicted to u.. can't u see http://bit.ly/Y6ljx,i am addicted to you baby come with me  i am addicted to u cannot u see ,0,1
"@lowkeyriez @kidcalloway mayb i cnt count, but......thats def 6 names...i cud b mistakin tho! ",  mayb i cnt count butthats def  namesi cud b mistakin tho ,0,1
@iAmBWright .. Uh oh!! Don't end up on the shit list  lol jk jk jk,  uh oh do not end up on the shit list  lol jk jk jk,0,1
ok shopping was far too fun ~ unpacking the bags now ,ok shopping was far too fun  unpacking the bags now ,0,1
one month... imissusofuckingmuch  &lt;3,one month imissusofuckingmuch  lt,1,0
@thegoodcount haha.. yeah I try to forget that... I nearly did  ... I am good... living the london life..., haha yeah i try to forget that i nearly did   i am good living the london life,1,0
"i feel like crap! no really, crap! if i were @thesquirts i would've had 50 tweets about it by now. ",i feel like crap no really crap if i were i would have had  tweets about it by now ,0,1
IDIOTat)tove_liden Th*nks for the follow Tove!  (ddoodm) #IDIOT,idiotattove_liden thnks for the follow tove  ddoodm idiot,0,1
Masterchef... Rove... Then Armin? Hahahah ahhhhh ,masterchef rove then armin hahahah ahhhhh ,1,0
"@vivekanandan Seems the Govt is goin to come up with a new law which states min of 3K should be paid for a maid...else 1,2,3 behind bars ", seems the govt is goin to come up with a new law which states min of k should be paid for a maidelse  behind bars ,0,1
"@jeaffry yeah it is..you wanna play, u gotta pay ", yeah it isyou wanna play u gotta pay ,0,1
@shoegal1888 cause they have DICKS and think theys better than everyone , cause they have dicks and think theys better than everyone ,1,0
@primatage You need to be rescued!!! , you need to be rescued ,0,1
"@sadieefacee ummm, I dont remember. If I find out Ill text it to you. ", ummm i dont remember if i find out ill text it to you ,0,1
@tehmani hahaha i left my credit card at home , hahaha i left my credit card at home ,1,0
@RachelLock22 what no way tht sux big time  we will b thinkin of u wen we c her and ANDREA, what no way tht sux big time  we will b thinkin of u wen we c her and andrea,1,0
gonna go take a shower and go to bed. long day tmm...no wrestling shows tonight.  watched monday night raw and it was amazing!!,gonna go take a shower and go to bed long day tmmno wrestling shows tonight  watched monday night raw and it was amazing,1,0
"@plaza , ran into Arvrin &amp; louden ugh mall rats -_- holla' I'm in asb 09-10  kay time to shop !",  ran into arvrin amp louden ugh mall rats _ holla i am in asb   kay time to shop ,0,1
@PencilComet yeye! I love video games. I also love it when my American teammates don't have school on friday , yeye i love video games i also love it when my american teammates do not have school on friday ,0,1
"Ohhhhh Starbucks, how I've missed you  Your iced coffee is 9512 times better than Caribou's ever will be.",ohhhhh starbucks how i have missed you  your iced coffee is  times better than caribous ever will be,1,0
"keyboard cat, you are so good at keyboard...I wish could play instrument ",keyboard cat you are so good at keyboardi wish could play instrument ,1,0
Chennai without Hayden  when punjab can beat Hyd...#IPL #Superbowl #Cricket,chennai without hayden  when punjab can beat hydipl superbowl cricket,0,1
Uk rating for Transformers 2 does not appear to have been decided. Hoping for 12a. My nearly 6 year old son would love to see that. ,uk rating for transformers  does not appear to have been decided hoping for a my nearly  year old son would love to see that ,0,1
@benjamintheriot I am jeal. Still studying here across the pacific. , i am jeal still studying here across the pacific ,1,0
@mckinseyann Ha yup it's been ages  Quick question. My sister follows you and thinks you are a different mckinsey. The one i'm related to., ha yup it is been ages  quick question my sister follows you and thinks you are a different mckinsey the one i am related to,1,0
"ehh false alarm, not going out at all ",ehh false alarm not going out at all ,0,1
@allyXwebb how fun lol i didnt go  hahaha, how fun lol i didnt go  hahaha,0,1
Frank Schleck winning the Tour of Luxembourg is hardly a surprise. Too bad he won't be appearing in Dauphin̩ Liber̩. (Go Gesink!  ),frank schleck winning the tour of luxembourg is hardly a surprise too bad he will not be appearing in dauphin liber go gesink  ,0,1
Not quite 5 in the morning... I might wake everybody with my sneezing!! ,not quite  in the morning i might wake everybody with my sneezing ,1,0
"No computers today, just the garden.....makes a nice change to be getting muddy for the sake of planting and weeding..roll on summer ",no computers today just the gardenmakes a nice change to be getting muddy for the sake of planting and weedingroll on summer ,0,1
@AlexAllTimeLow you totally wouldnt need to pay , you totally wouldnt need to pay ,0,1
"Feeling nice &amp; comfy in my cold humidified room. I can't sleep in Marana anymore, makes my allergies go crazy. Goodnight ",feeling nice amp comfy in my cold humidified room i cannot sleep in marana anymore makes my allergies go crazy goodnight ,0,1
"@AmarieB76 eeee!! Nacho!  Glasvegas that bad, eh?", eeee nacho  glasvegas that bad eh,0,1
@joeymcintyre Hii Joeeey it's gonna be hot i know!! wish i could be thereee in some summer show!  ENJOY BONITO, hii joeeey it is gonna be hot i know wish i could be thereee in some summer show  enjoy bonito,1,0
"@jasonrashaad You should try Blue Moon Cafe, or @teavolve. And what's wrong w/Jimmy's? ", you should try blue moon cafe or and what is wrong wjimmys ,0,1
@Eva_Plush awww well next time wake up a little bit earlier so you can eat because breakfast is the most important meal of the day , awww well next time wake up a little bit earlier so you can eat because breakfast is the most important meal of the day ,0,1
"@FLS_Danicia Wrong wording from me  The Jack Simple idea that big ship wins. I'm back and having fun, but small/mediums not viable now.", wrong wording from me  the jack simple idea that big ship wins i am back and having fun but smallmediums not viable now,0,1
trying to decide what to eat.... what should i eat??? i want CHIK-FIL-A ,trying to decide what to eat what should i eat i want chikfila ,0,1
@sbohlen I don't think its the xml that frightens them ... , i do not think its the xml that frightens them  ,0,1
"@ccbauzon We both lost...she was closer, but technically we both lost...so (for the record) @iemcanadian isn't any better ", we both lostshe was closer but technically we both lostso for the record is not any better ,0,1
@kimmymary I cant find episode one from season 1! do you know where to find it? , i cant find episode one from season  do you know where to find it ,0,1
"@LDark Right now I'm so broke though. Curse you, summer tuition and rent! D: But if you visit me one day, I'll cook you food! ", right now i am so broke though curse you summer tuition and rent d but if you visit me one day i will cook you food ,0,1
"@howeezy hmmm got my back, huh. wheres the love, wheres the support ", hmmm got my back huh wheres the love wheres the support ,1,0
"@Georgina_Milne how are you? Feeling any better? Missed a great weekend, hon ", how are you feeling any better missed a great weekend hon ,1,0
@ddlovato hey demi =D I answered by the official Twitter so once demi please love you too girl  !!!!, hey demi d i answered by the official twitter so once demi please love you too girl  ,1,0
@tommybrunn Harsh!  About 70 people there right now.  Try again. , harsh  about  people there right now  try again ,0,1
@JasonBradbury  ...surely the second book is called 2.0 ??? , surely the second book is called   ,0,1
"...she's so tiny, I can lay her in my lap, rest her head on my arm and have both hands free to type.  Wonder how long that will last ",she is so tiny i can lay her in my lap rest her head on my arm and have both hands free to type  wonder how long that will last ,0,1
"Don't really get FaceBook.  I get the same stuff right here on Twitter, and a lot quicker!  ",do not really get facebook  i get the same stuff right here on twitter and a lot quicker  ,0,1
&quot;Why does Alanna get to stay up late?&quot; -Aedon... ,quotwhy does alanna get to stay up latequot aedon ,0,1
Its already sunday evening..tomorrow is school again.  Summer get here quick and thats an order!! ,its already sunday eveningtomorrow is school again  summer get here quick and thats an order ,1,0
"Off to see the wizard, the wonderful....oh, no , wait, it's Monday ",off to see the wizard the wonderfuloh no  wait it is monday ,1,0
"Thought Deutsche Welle had dropped their English service, but heard it this morning on 7430 kHz  #shortwave #swl",thought deutsche welle had dropped their english service but heard it this morning on  khz  shortwave swl,0,1
"@gerrysanchez ooh you're missing out!  It's a chain of grocery stores that carries their own brands, it's pretty cheap and hella yummy ", ooh you are missing out  it is a chain of grocery stores that carries their own brands it is pretty cheap and hella yummy ,0,1
Luckily I wasn't called out last night but I'm still up at 8:30 on a Sunday morning ,luckily i was not called out last night but i am still up at  on a sunday morning ,1,0
my best gman finally came to school! ,my best gman finally came to school ,0,1
"@XPLOSIVECXC no my lovely cupcake, my gramps isn't doing good at all, waiting on word from his surgery, but have lots of fun for me ", no my lovely cupcake my gramps is not doing good at all waiting on word from his surgery but have lots of fun for me ,0,1
watching the hills  sad its ending.. tired.. so much homework for tomorrow.. then my tan  gotta get ready.. lol,watching the hills  sad its ending tired so much homework for tomorrow then my tan  gotta get ready lol,0,1
@ShawneyJ too bad none of the new ones were me  lol., too bad none of the new ones were me  lol,1,0
"I'm having to study indoors, it's not fair when the weather is so beautiful!! 2 weeks to go then it's over for the summer ",i am having to study indoors it is not fair when the weather is so beautiful  weeks to go then it is over for the summer ,0,1
dying my hair this weekend !  red me thinks !,dying my hair this weekend   red me thinks ,0,1
She looks bootiful ,she looks bootiful ,0,1
"@binarylife Have a great day, hope to catch up with you later. Wish I was in town hehe ", have a great day hope to catch up with you later wish i was in town hehe ,0,1
@UncleRUSH Morphine and Percocet are ur friends when pain is acute. And we became very friendly recently  Def the morphine..1st 24 hrs., morphine and percocet are ur friends when pain is acute and we became very friendly recently  def the morphinest  hrs,0,1
when i told my mom &quot;can we watch up?&quot; she said &quot;OK&quot;. little did i know she thought i asked &quot;what's up?&quot; looks like i have a free friday. ,when i told my mom quotcan we watch upquot she said quotokquot little did i know she thought i asked quotwhat is upquot looks like i have a free friday ,1,0
"@hantenhobbit ahhaha!! My dog* does that to me all the time, that is her way of tellng me she has to go outside.  Not dad, that was wrong!", ahhaha my dog does that to me all the time that is her way of tellng me she has to go outside  not dad that was wrong,0,1
Breakfast with gparents at 930? I'll moss the wake up chat sssh with my broz ,breakfast with gparents at  i will moss the wake up chat sssh with my broz ,1,0
@iCoopers You tease  But thank you , you tease  but thank you ,1,0
@xXDesXx okay  :O WHY NOT?! :shifty:, okay  o why not shifty,0,1
@gasuni So true!  It's a little crazy but sometimes I miss that since there's no traffic here , so true  it is a little crazy but sometimes i miss that since there is no traffic here ,0,1
@passwordreset Welcome to the Twitterverse!  Great handle BTW.  I can commiserate as @Micaiah was taken as well.  , welcome to the twitterverse  great handle btw  i can commiserate as was taken as well  ,1,0
Just got back from a friend's trailer.  Had a nice campfire.  Off to the dentist tomorrow...Yikes!  ,just got back from a friends trailer  had a nice campfire  off to the dentist tomorrowyikes  ,1,0
"@damana that, and I miss my V8. But I don't miss paying for it, insuring it, or filling it ", that and i miss my v but i do not miss paying for it insuring it or filling it ,0,1
@kimloves your video is now being exported and will be uploaded asap.  p.s. the post office yelled at me for not having your LAST NAME. xD, your video is now being exported and will be uploaded asap  ps the post office yelled at me for not having your last name xd,0,1
At Relay For Life with @roscopcoletrane and the rest of The work crew! ,at relay for life with and the rest of the work crew ,0,1
2 more outs and we're going home , more outs and we are going home ,1,0
"@tomabba Oh, and I'm feeling especially sorry for myself since I'll be missing the grand festivities of your birthday ", oh and i am feeling especially sorry for myself since i will be missing the grand festivities of your birthday ,0,1
We are in challenging times. Warren Buffet said recently that the best investment is IN YOURSELF!  Step up...don't be afraid!!! ,we are in challenging times warren buffet said recently that the best investment is in yourself  step updo not be afraid ,0,1
packing up! almost done ,packing up almost done ,0,1
I don't wanna work a 10-hour shift today! I'd rather whisper sweet-nothings into the earpiece of a lady friend's cellphone.  ,i do not wanna work a hour shift today i would rather whisper sweetnothings into the earpiece of a lady friends cellphone  ,0,1
@untrainedninja hes v cute have fun following! u should get a twitter acc for ollywolly! now i wana a kitty too , hes v cute have fun following u should get a twitter acc for ollywolly now i wana a kitty too ,1,0
@thejamachine Can I copy? I want to watch too. , can i copy i want to watch too ,1,0
Having a mild heartattack ,having a mild heartattack ,0,1
@sassyback it is... and such a waste of money that could be better spent on other things... , it is and such a waste of money that could be better spent on other things ,0,1
"gay culture is increasing in india,govt has to make new laws such as wat will be charges if a boy tease a boy nd wat if a boy rapes a boy ",gay culture is increasing in indiagovt has to make new laws such as wat will be charges if a boy tease a boy nd wat if a boy rapes a boy ,0,1
"just watched Moto GP 250cc, amaziiing race!! H. Aoyama is very good. this bcm more interesting than 500cc, they're kind of boring now ",just watched moto gp cc amaziiing race h aoyama is very good this bcm more interesting than cc they are kind of boring now ,0,1
@VixenJodi Oh you are way up there! &gt;LOL No wonder it feels like snow. , oh you are way up there gtlol no wonder it feels like snow ,0,1
I'm awake. Still kinda sleepy.  but woke up to a tweet from @killakel25 sooo glad he made to to iraq safe and sound!,i am awake still kinda sleepy  but woke up to a tweet from sooo glad he made to to iraq safe and sound,1,0
