text,normalized_text,lable_x,result
My new favorite to do : sitting in my pj's waiting for that one phone call. ,new favorit  sit pj  wait phon cal ,0,1
"@iMartyW @artfulmemories The show is so awful, it is fantastic. ",show aw  fantast ,0,1
Needing to do some homework today ,nee som homework today,0,1
I WORE JEANS!!!!!!!!!!!!! HURRAY  ,wor jean              hurray,0,1
"feeling a lot better now, I guess I should joke around when it's painful.. it seems to help.. only problem: people might get offended ",feel lot bet  guess jok around painful  seem help  problem  peopl might get offend,1,0
@Geekwife Me too   Now all I need are the rest of the #flyinglushes to find their way back here - I'm thinking its TINI TIME!!!!,al nee ar rest  flyinglush find way back  think tin tim    ,0,1
Whar a mediocre evening. I hope for my sake that tomorrow is awesome or I'm gonna be a right moody arse. My ears are fine thanks ,whar mediocr ev  hop sak tomorrow awesom gon na right moody ars  ear ar fin thank,0,1
@helenwhy i see haha  what've you been up to outside of work?,see hah hav outsid work ,1,0
@DuboisRene &quot;Fall&quot; is so beautiful.  I mean who can't relate. Ugh. *Takes out Human album*,amp quot  fal amp quot  beauty  mean not rel  ugh  takes hum album,1,0
octoglob    http://bit.ly/EMeNH via @addthis,octoglob via,1,0
just studied biology for nearly 4 hours. BUTUTUT last test of the year! Minus the final exam but steeeeel. ,study biolog near  hour  bututut last test year  min fin exam steeeeel ,0,1
"@Michael_Zelbel am getting used to twitter, i should feel very at home here but it's taking some time to learn the ettiquette ",get us twit  feel hom tak som tim learn ettiquet,0,1
"I woke up in such a panic, but today was really lots of fun.  Problems that overwhelm us at night have less power during the day.  ",wok pan  today real lot fun  problem overwhelm us night hav less pow dur day ,0,1
@dinibeanie yeah trying to study so hard right now.  how are you going with exam study? ... blink 182 are the best. ,yeah try study hard right  ar going exam study   blink  ar best ,1,0
"@TaylorWilde hi shantelle ... you did a great job at lockdown, sorry you didnt win the title  xoxo",hi shantel  gre job lockdown  sorry didnt win titl xoxo,1,0
@flytunes cuz on twitter we practice no rainbow and no nobby ,cuz twit pract no rainbow no nobby,0,1
"@Rob_Bowman I'm slow in catching up to tweets today! Yeah, I tried that before and never had good luck with extreme violence. ",slow catch tweet today  yeah  tri bef nev good luck extrem viol ,0,1
@sopranokoala great weekend; 1 no food 2 no food 3 starving by Sunday evening 4 hospital visit 5 eat like there's no tuesday! ,gre weekend   no food  no food  starv sunday ev  hospit visit  eat lik ther no tuesday ,0,1
@baby__jane your boy @HunterParrish has a twitter. there's a hint to what i'm gonna miss on monday. ,yo boy ha twit  ther hint gon na miss monday ,1,0
Morning ... Going to court ,morn  going court,1,0
Im watching across the universe by myself. ,im watch across univers ,1,0
Whoa whoa whoa I don't know about all this bad mouthing Amy nonsense!!! ,not know al thi bad mouth amy nonsens   ,0,1
@ddlovato hey demi =D I answered by the official Twitter so once demi please love you too girl  !!!!,hey dem d answ twit ont dem pleas lov girl    ,1,0
listening to the roar/hoot/squeal of the traffic &amp; the hum of the air conditioning - colombo is not a quiet place ,list roarhootsqueal traff amp amp  hum air condit  colombo not quiet plac,0,1
"@DENISE_RICHARDS good morning to you while gd nite to me in Singapore..I lost my aunt due to cancer too,hoping to do Cancer charity too ",good morn whil gd nit singapore  lost aunt due cant  hop cant char,0,1
@KatyCorbeil damn. they close at four. boo. i get off at 2 and then i go change and shazam. blood. i get my gallon plate tomorrow! ,damn  clos four  boo  get  go chang shazam  blood  get gallon plat tomorrow ,0,1
thinking about how things happen if you just believe... ,think thing hap believ ,0,1
sometimes it's just best for me to stay curious  rather than find out the bitter truth,sometim best stay cury rath find bit tru,1,0
I've only got the finale of American Idol left to subtitle. Then it's back to doing som real work ,hav got fin idol left subtitl  back som real work,1,0
@gellyfish - 140 wasn't confining enough ,  not confin enough,0,1
Vacation!  Gonna go to celebrate with my friends to the city! Oh my god! I have to get prepared! Only 3hrs to the &quot;party&quot; ;),vac  gon na go celebr friend city  oh god  hav get prep  hrs amp quot  party amp quot   ,0,1
weoll good night all xoxo wish me luck for the busy day ahead tomorrow  oh well what can you do lol good night,weol good night al xoxo wish luck busy day ahead tomorrow oh wel lol good night,1,0
ATi In the House ,hous,0,1
"@Transitionqueen Not always easy to make time for self-care when 100's on to-do list. But, sure beats burn out in long run ",not alway easy mak tim selfcare   todo list   sur beat burn long run,0,1
@britopian what are you doing up at this time? ,ar thi tim ,0,1
@ridhi_07 What did I ask? ,ask ,1,0
My voice is 95% back ,voic   back,0,1
@alexxxmann tbh i thinkg thats the gayst advert ive ever seen and yesyes i kow what it is now           i want mikados :'(,tbh thinkg gayst advert iv ev seen yesy kow want mikado   ,0,1
"Just called 911 in this passed out, drunk dude. He was like halfway in the gutter on Beach. It was awesome. Never called the cops before. ",cal  thi pass  drunk dud  lik halfway gut beach  awesom  nev cal cop bef ,0,1
@shadyoutkast I do too. ,,0,1
@bluefur Hey! &gt; you're not blue-fur! ,hey  amp gt  ar not bluefur ,1,0
"It's my birthday, bitch!!!!!   officially not a teen.",birthday  bitch      not teen ,0,1
@connoraa thats sokai ,soka,0,1
having a coffing fit   i can hear joel n az laughing downstairs..mayb i will join them,hav coff fit hear joel n az laugh downstairs  mayb wil join,1,0
charmed was such a great show y did hav to end ,charm wa gre show hav end,1,0
@kmax2j1e Love Blue Rodeo...Jealous! Totally had to look up what the Malkin Bowl was though ,lov blu rodeo  jeal  tot look malkin bowl though,0,1
Big freakin thunder. Maybe the power will go out again  Off to work till 8...,big freakin thund  mayb pow wil go work til  ,0,1
i need a holiday  preferably turkey any1 want to take me lol,nee holiday pref turkey any want tak lol,0,1
back home ,back hom,0,1
"Metatags are fine, as far i have not to tag tons of sites ",met ar fin  far hav not tag ton sit,1,0
"so, I'm off to bed now.  it's almost 0:00 here in Germany.. no school tomorrow, wooooop!  see ya tomorrow. byeeee. xx", bed  almost    germany  no school tomorrow  wooooop  see ya tomorrow  bye  xx,0,1
@mousebudden lol..in my relationship 2..we stay arguing &amp; dnt even remeber what 4 or how it started..ur not alone joey ,lol  rel   stay argu amp amp  dnt ev remeb  started  ur not alon joey,0,1
wishes she could just escape n go somewhwere exciting ,wish could escap n go somewhw excit,0,1
I'm Gonna Have To Watch The #bb10 Eviction On Ch4+1 Because The #apprentice Final Is 2 Hours Today ,gon na hav watch  bb evict ch becaus  appr fin  hour today,0,1
Sorry kids  There's always next yr. Enjoy the rest of the show. Mr Urban is 1 heck of a guitarist!,sorry kid ther alway next yr enjoy rest show  mr urb  heck guit ,1,0
I need me time I'm thinking mani pedi today ,nee tim think man ped today,0,1
"@thetinagrant How is your retirement from modeling going, you miss it at all ",yo retir model going  miss al,0,1
is thankful for the morning rain ,thank morn rain,0,1
@karasukun   thats an uncool name for that,uncool nam,1,0
@kassymay were so cool but people don't know how cool we are beacuse its way to much to think about   p.s stop eating all the pizza,wer cool peopl not know cool ar beacus way much think ps stop eat al pizz,0,1
@aaron_watson Have fun honky tonkin in Colorado! Miss ya in ks ,hav fun honky tonkin colorado  miss ya ks,0,1
@Yashiyama Not your fault the staff member is a complete moron ,not yo fault staff memb complet moron,1,0
I tought Conan did a great job tonight.  Better than Leno IMO.,tought con gre job tonight  bet leno imo ,0,1
@Depond No not really  It's all boring haha. and on tv in ur country? x,no not real al bor hah  tv ur country  x,1,0
@AGtheKid I know..tweetie kept it the same.  get me an autograph plz. Yes groupie.,know  tweetie kept sam  get autograph plz  ye groupy ,1,0
My dog just barked one of my mates straight out the door!  I'll have no friends left soon! ,dog bark mat straight door  wil hav no friend left soon ,0,1
after one week holiday off to work---hahaha ,aft week holiday work  hahaha,1,0
whee!! new tv delivery! ,whe   new tv delivery ,0,1
@MusicMistress90 Boo to him ,boo,0,1
weirdest dream ever xD why do all americans have a gun?! and @trvsbrkr I am really not a thief ,weirdest dream ev xd al hav gun   real not thief,0,1
my home computer internet is down.. but i can still get wifi in the middle of my street!  http://bit.ly/aQ8Kz,hom comput internet  stil get wif middl street ,0,1
@mitchelmusso that must have been hard!  at least you're almost done!,must hav hard  least ar almost ,1,0
@PDX_Grenade The link 404'd. ,link   ,1,0
@xIngrid nothing  I'm sitting next to you. Again ,noth sit next ,0,1
"Baby Seahorses yesterday morning - week early. Were doing real well till I left for the day, airhose turned off, all sifocated. ",baby seahors yesterday morn  week ear  wer real wel til left day  airhos turn  al sifoc ,1,0
"i was gonna do a new icon but u came here  so i don't have to, i mean simona",gon na new icon u cam not hav  mean simon,0,1
"Rain delay...  ... Of course, because I actually have some free time to watch",rain delay   cours  becaus act hav som fre tim watch,1,0
"You've got a piece of me, and honestly, my life would suck without you ",hav got piec  honest  lif would suck without,0,1
@pmurphy_dc Well don't because then @whatlizsaid won't be able to take cute pictures of you.  LOL,wel not becaus wil not abl tak cut pict  lol,1,0
"Shower, dress and then off to Leinster-Munster match to watch Munster kick ass and all the D4/ Blackrock jocks cry ",show  dress leinstermunst match watch munst kick ass al d blackrock jock cry,0,1
Morelim bozuk canÄ±m sÄ±kkÄ±n ,morelim bozuk can  s  kk  n,1,0
@kingchidiishere lance... thats it. hook up the internet on the phne. theres no point n tweeting when have 2 do it from the house! ,lant   hook internet phne  ther no point n tweet hav  hous ,1,0
"@carole29 yes please, I'm too upset at the situation ",ye pleas  upset situ,1,0
"@binarylife Have a great day, hope to catch up with you later. Wish I was in town hehe ",hav gre day  hop catch lat  wish town heh,0,1
arthemis is coooool ,arthem coooool,0,1
just finished health project  bout to hit the hay,fin heal project bout hit hay,0,1
it is 8:30 - already taken Dave to drop his gar at garage - kids all ready for school and child #4 smashed a glass cake stand. Good start ,    already tak dav drop gar gar  kid al ready school child   smash glass cak stand  good start,0,1
@RICKEYJACKETS WHATS THAT? MUSHINGTON O HELL LOL I GOT IT AS I TYPED IT.. YEAH WELL NONE FOR ME NE MORE.. , mushington hel lol got typ  yeah wel non ne ,1,0
"@Heatherinaa Duh, of course! I have it on DVD.  This is why my love for Nathan Fillion is now out of control.",duh  cours  hav dvd  thi lov nath fil control ,0,1
goodnight  â¥,goodnight ,1,0
cut all of Jace's hair off! AHHH what was I thinking! hehe He looks like a little man!! ,cut al jac  hair  ahhh wa think  heh look lik littl man  ,1,0
rain rain go away i want 2 buy my converse today ,rain rain go away want  buy convers today,0,1
"@codepo8  people often wonder what the writers were smoking to make such a lousy plot. For T4 they had nothing to smoke, hence the result",peopl oft wond writ wer smok mak lousy plot  t noth smok  hent result,0,1
"@roflwolf No, seriously, what does it mean.  ",no  sery  doe mean ,1,0
"black dress, with the tights underneath, i got the breath of a last cigarette on my teeth - 3oh!3 ",black dress  tight undernea  got brea last cigaret tee  oh  ,0,1
@kyrobbins @shandrab @zoeyjordan @jessewatson1 @nathanrouse  Sorry for just &quot;disappearing&quot; earlier - actually fell asleep with twitter! ,sorry amp quot  disappear amp quot  ear  act fel asleep twit ,1,0
@ev Can you PLEASE Fix Twitter Avatars.  I have been having issues for two days.. i want a photo.  ,pleas fix twit avat  hav hav issu two days  want photo ,0,1
@limeroyalty sorry you're missing the black lips!  thanks for the shoutout though!,sorry ar miss black lip  thank shoutout though ,1,0
just got homee after a day/afternoon/evening spentt with matess ,got hom aft dayafternoonevening spent matess,0,1
I think it's official. I've ran outta things to talk about on here. ,think  hav ran outt thing talk ,1,0
"@Agent_M I love reading your tweets, they're a highlight of my day. Although sometimes I don't really know what you're going on about ",lov read yo tweet  ar highlight day  although sometim not real know ar going,1,0
counting the blisters on my feet OUCH...was worth it tho. We had a great time. Time to head home now ,count blist foot ouch  wa wor tho  gre tim  tim head hom,1,0
@Amanda_mb never thought of i-player lol...i just have it on my digi box thing hehe. Well I'm going to sleep busy day 2mora  Night x,nev thought iplayer lol  hav dig box thing heh  wel going sleep busy day mora night x,1,0
http://twitpic.com/6u9yi - I got this sundress last night... And didn't realize til now that there are pink pot leaves on it! , got thi sundress last night  not real til ther ar pink pot leaf ,1,0
"@chichiglacierz Lol, I know but I'm on West Coast time &amp; I'm a Vampire anyways ",lol  know west coast tim amp amp  vampir anyway,0,1
In portland ,portland,0,1
@sawwaa but our life depends on it!!!!! ,lif depend     ,1,0
@bifnaked ugh! Wish i could help ya knock off some items from your list! Hope you sleep in tomorrow! Well at least til 4!  ,ugh  wish could help ya knock som item yo list  hop sleep tomorrow  wel least til  ,0,1
"Hoping to be productive today, but S is working this afternoon ... Mommy &amp; P time ",hop produc today  work thi afternoon  mommy amp amp  p tim,0,1
PLEASE VOTE FOR DIVERSITY LOL ,pleas vot divers lol,1,0
Squishy!! About time he scored again ,squishy   tim scor,0,1
I wouldn't mind walking in the rain if i didn't have expensive technology in my hands... ,would not mind walk rain not hav expend technolog hand ,1,0
@DoomGolly Bo! As in the late-nineties British urban greeting ;) Who did you work with I'm confused ,bo  latenineties brit urb greet   work confus,0,1
sleeping taken by roly  http://sml.vg/xJeLhL,sleep tak roly,0,1
@i_hate_subway: we were playing 'bullshit' at work on friday and it made me thing of the movie How to Lose a Guy in 10 Days. ,wer play  bullshit  work friday mad thing movy los guy  day ,0,1
"@Murph_OM missed yer stream this week, capt'n. Hope yer feeling better now. Arrrrrr fer ye! ",miss yer stream thi week  capt  n  hop yer feel bet  arrrrr fer ye ,0,1
Also available as &quot;flip book&quot; but the link is too long to fit in here ,also avail amp quot  flip book amp quot  link long fit,0,1
my 1st day as a media planning/buying intern= so informative and productive!! It as great! IM GLAD- those butterflies in my belly r gone ,st day med planningbuy intern inform produc   gre  im glad thos butterf bel r gon,0,1
"@ska_o_licious I was on that shit for a whole year, I know how hard it can be  Seriously if you wanna talk I'm here",wa shit whol year  know hard sery wan na talk,1,0
"kinda sucks when you forget to eat, oh well, c'est la vie ~ ahahaha xoxox ",kind suck forget eat  oh wel  c  est la vie  ahahah xoxox,0,1
@unklar sure ship them on up -- mine won't be ready for another 7 weeks .... slow start -- late frost ,sur ship  min wil not ready anoth  week   slow start  lat frost,1,0
@INishaBoo92 ummm I been in the kitchen. There's nuthin there ,umm kitch  ther nuthin ther,1,0
Kurdistan Region exports oil  http://bit.ly/16SORG,kurd reg export oil,0,1
@yay4bnl Sprinting.... shudder!  But hrrrmm... all those goodies mean I like should get out and do something.. sometime...not soon ,sprinting   shud  hrrrmm  al thos goody mean lik get something  sometim  not soon,0,1
@Jule_E HUGS!  Let me know if there is anything I can do! ,hug  let know ther anyth ,1,0
need to let go of my twitteraddiction nd go enjoy this beautiful sunday  catch ya later tweeps!,nee let go twitteraddict nd go enjoy thi beauty sunday catch ya lat tweep ,0,1
"Also, dying. 28.2 celsius outdoors, and I have.. 26.2 in my room!  ..that is a sarcastic smiley, btw.",also  dying   celsi outdo    room   sarcast smiley  btw ,0,1
Woke up early on a sunday for dance ,wok ear sunday dant,1,0
"And those words you write, keep me up all.... niiiiiiggggghhhhhttttt ",thos word writ  keep al   niiiiiiggggghhhhhtttt,0,1
is glad dolce is back  but misses SD,glad dolc back miss sd,0,1
"had a surprisinly good day... was at a bbq, wasnt as bad as i thought it would be :p ended up txting ppl most of day like, lmao  x",surprisin good day  bbq  wasnt bad thought would  p end txting ppl day lik  lmao x,0,1
At a wedding - I don't know anyone other than my wife  I feel like owen Wilson in wedding crashers http://twitpic.com/6rxlo,wed  not know anyon oth wif feel lik ow wilson wed crash,0,1
@cmarie7 home watching tv  I need a night out. you got me on that gnr shit,hom watch tv nee night  got gnr shit,1,0
I'm looking for someone who can repair a vintage record player... Anyone? Anyone? ,look someon repair vint record play  anyon  anyon ,0,1
Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice ,peopl hav  deceit unr  lov stev jon chan tat ha renew lol  soo nic,1,0
"awwww so proud of my cats. all vaccinated and stuff, now they're a bit snoozy  zzz",awwww proud cat  al vaccin stuff  ar bit snoozy zzz,0,1
"@skipsamo LOL, never a fan of sheff. damn yanks. although your tigers are playing my sox soon...uh oh ",lol  nev fan sheff  damn yank  although yo tig ar play sox soon  uh oh,0,1
"Brrrrr, so cold here in Aus today! Good luck Miley with MTV awards !! ",brrrrr  cold au today  good luck miley mtv award  ,0,1
Is crushin' hard!!!!!!!!!!!!!!!! ,crushin  hard                ,0,1
"@sparkspace tho, I guess i din't follow the link in that first tweet, so i glossed over an impt bit of context. I think i'll shut up now ",tho  guess di n  follow link first tweet  gloss ov impt bit context  think wil shut,0,1
is happy to see @nextlevelent  ...missed ya punkin ,happy see  miss ya punkin,0,1
@tombrazelton I quoted you then spelled your name wrong ,quot spel yo nam wrong,0,1
"@thecircusgirl i don't know anything ï¿½ï¿½' and if u want to be the new cancer, ok, but i don't want it and i'm your best friend so shut up ",not know anyth       u want new cant  ok  not want yo best friend shut,0,1
my dog just bit me  and she broke the skin the bitch! LOL guess I'll have to stop teasing here hehehe,dog bit brok skin bitch  lol guess wil hav stop teas heheh,1,0
@breedimetria @blackaricanma alright ladies! I'll be back to chat l8r. Bout to take care of Lil A bcuz he doesnt feel well  ttyl twitches!,alright lady  wil back chat lr  bout tak car lil bcuz doesnt feel wel ttyl twitch ,1,0
"@ecounts bohuÅ¾el se zdÃ¡, Å¾e ani 24/7 vysÃ­lÃ¡nÃ­ by bylo mÃ¡lo   http://bit.ly/NeNVp",bohuel se zd   e  vysl  n bylo m  lo,1,0
Twiitter iis piiss'n me off ...iim off thiis ...g'niite my prettys ...uglys too but ...mostlys my prettys ,twiit ii piiss  n  iim thi  g  niite pretty  ug  pretty,0,1
"@cspenn   I'm on Korgath. Alliance as well, Gnome warrior. but i just play for the questing... not a raider. that'",korga  al wel  gnom warry  play quest  not raid  ,1,0
@HenleyFenix  click your heels three times!,click yo heel three tim ,1,0
Is Going to bed.Long day tommorow ,going bedlong day tommorow,0,1
"@JennnaaBeeean i feel like we're all getting old!  but its ok, i guess. lol",feel lik ar al get old  ok  guess  lol,1,0
Last football match of the season  but we did the whole spray champagne thing which was cool ,last footbal match season whol spray champagn thing wa cool,1,0
@weddingtidbits #wisebride looks fun! Wish I were in FL today , wisebrid look fun  wish wer fl today,0,1
@togetherinlife Everyone says &quot;there's nothing wrong with having money&quot; but then they haven't worked for rich jerk gurus!  Power corrupts.,everyon say amp quot  ther noth wrong hav money amp quot  hav not work rich jerk gur  pow corrupt ,0,1
@Freedom7Fighter  100% agree.....,  agr  ,1,0
@ashieldsss i have no ideaaaa ugh   just a littttle tiny hint before you take it!,hav no ideaaa ugh littttl tiny hint bef tak ,1,0
"I changed my mind Sylar's not my favorite, Hiro is. ",chang mind syl  not favorit  hiro ,0,1
@islandchic Good god!! Keep sniffing then.. ,good god   keep sniff ,0,1
@brittneycamargo Yep. I wanted to go to both too  but I think we'll see each other at Warped. You're going to Ventura right?,yep  want go think wil see oth warp  ar going ventur right ,1,0
@gregcundiff yah it was our grand reopening or some such nonsense. it was fun....i babysat my frieds. ,yah wa grand reop som nonsens  wa fun  i babys fri ,1,0
@Samira_R passing out on a table and wakin up 2 a guy singin 2 me while every1 was laughin at me ..durin Kareoke night!  and..,pass tabl wakin  guy singin  whil every wa laughin  durin kareok night  ,1,0
@x3Hannahx3   i don't know  me is boring !!,not know bor  ,0,1
Everyone gets to lay out by the pool except for me   working till 7. Come visit,everyon get lay pool exceiv work til  com visit,1,0
@shiftin around 6.30 I'd have thought..for a good few hours. ,around  would hav thought  good hour ,0,1
Todays the day! Countdown is over!  don't worry i'll have another one soon lol,today day  countdown ov  not worry wil hav anoth soon lol,1,0
"@Hfashionista thats cuz people need to watch their carbon footprint.. soon, it will be snowing still in June.. ",cuz peopl nee watch carbon footprint  soon  wil snow stil june ,1,0
"@shaneheadboy you follow a lot of brazilian girl, why don't you follow me too? ",follow lot brazil girl  not follow ,1,0
summer workout!  ,sum workout ,1,0
Oh yaay Princess Bride is on! As you wiiissshh!!  makes my heart smile. What a loser. ,oh yaay princess brid  wiiissshh   mak heart smil  los ,0,1
"Wow, I never realized there was so many spam profiles on twitter.... Another reason to hate ",wow  nev real ther many spam profil twit   anoth reason hat,0,1
@LM4U16 yeah u kinda disappeared haha. how u doing Eli? ,yeah u kind disappear hah  u el ,0,1
